'id';'tgl_distribusi';'jumlah';'satuan';'harga_berlaku';'created_at';'updated_at';'deleted_at';'created_by';'updated_by';'deleted_by';'id_unit_ternak';'id_jenis_produk';'id_mitra_bisnis'
120;2023-10-06;3.00;ekor;1850000;2023-10-07 17:06:16.000;2023-10-07 17:06:16.000;;9;;;4;1;12
121;2023-10-06;20.00;kg;135000;2023-10-07 17:06:36.000;2023-10-07 17:06:36.000;;9;;;4;2;8
122;2023-10-10;2.00;ekor;1300000;2023-10-14 14:22:38.000;2023-10-14 14:22:38.000;;14;;;12;1;20
123;2023-10-10;15.00;kg;120000;2023-10-14 14:22:53.000;2023-10-14 14:22:53.000;;14;;;12;2;21
124;2023-10-13;1.00;ekor;750000;2023-10-14 14:23:16.000;2023-10-14 14:23:16.000;;14;;;12;1;21
125;2023-10-13;25.00;kg;150000;2023-10-14 14:23:33.000;2023-10-14 14:23:33.000;;14;;;12;2;20
126;2023-10-10;2.00;ekor;1650000;2023-10-14 15:17:35.000;2023-10-14 15:17:35.000;;9;;;4;1;8
127;2023-10-10;15.00;kg;75000;2023-10-14 15:17:58.000;2023-10-14 15:17:58.000;;9;;;4;2;12
128;2023-10-13;1.00;ekor;1000000;2023-10-14 15:18:13.000;2023-10-14 15:18:13.000;;9;;;4;1;12
129;2023-10-13;20.00;kg;120000;2023-10-14 15:18:25.000;2023-10-14 15:18:25.000;;9;;;4;2;8
130;2023-10-17;2.00;ekor;1500000;2023-10-21 11:48:01.000;2023-10-21 11:48:01.000;;14;;;12;1;20
131;2023-10-17;25.00;kg;120000;2023-10-21 11:48:17.000;2023-10-21 11:48:17.000;;14;;;12;2;21
132;2023-10-20;20.00;kg;135000;2023-10-21 11:48:41.000;2023-10-21 11:48:41.000;;14;;;12;2;20
133;2023-10-20;1.00;ekor;1000000;2023-10-21 11:48:56.000;2023-10-21 11:48:56.000;;14;;;12;1;21
134;2023-10-17;1.00;ekor;1200000;2023-10-21 11:53:00.000;2023-10-21 11:53:00.000;;9;;;4;1;8
135;2023-10-17;15.00;kg;150000;2023-10-21 11:53:13.000;2023-10-21 11:53:13.000;;9;;;4;2;12
136;2023-10-20;15.00;kg;125000;2023-10-21 11:53:30.000;2023-10-21 11:53:30.000;;9;;;4;2;8
137;2023-10-20;2.00;ekor;1850000;2023-10-21 11:53:47.000;2023-10-21 11:53:47.000;;9;;;4;1;12
