'id','tgl_pencatatan','jml_pedaging_jantan','jml_pedaging_betina','jml_pedaging_anakan_jantan','jml_pedaging_anakan_betina','jml_perah_jantan','jml_perah_betina','jml_perah_anakan_jantan','jml_perah_anakan_betina','created_at','updated_at','deleted_at','created_by','updated_by','deleted_by','id_peternak'
32,2023-08-04,5,2,5,1,2,3,4,1,2023-08-04 12:48:53.000,2023-08-04 12:48:53.000,NULL,NULL,NULL,NULL,24
33,2023-08-12,3,4,1,1,2,3,1,5,2023-08-12 11:48:23.000,2023-08-12 11:48:23.000,NULL,NULL,NULL,NULL,17
34,2023-08-12,1,3,2,5,4,3,1,2,2023-08-12 11:58:43.000,2023-08-12 11:58:43.000,NULL,NULL,NULL,NULL,24
35,2023-08-19,2,3,3,4,1,2,2,5,2023-08-19 11:28:49.000,2023-08-19 11:28:49.000,NULL,NULL,NULL,NULL,17
36,2023-08-19,2,4,1,1,3,4,2,1,2023-08-19 11:34:54.000,2023-08-19 11:34:54.000,NULL,NULL,NULL,NULL,10
37,2023-08-26,5,4,1,3,3,2,1,4,2023-08-26 12:15:56.000,2023-08-26 12:15:56.000,NULL,NULL,NULL,NULL,17
38,2023-08-26,2,3,4,2,3,4,4,1,2023-08-26 12:23:12.000,2023-08-26 12:23:12.000,NULL,NULL,NULL,NULL,9
39,2023-09-02,2,3,4,1,2,2,5,1,2023-09-02 14:01:45.000,2023-09-02 14:01:45.000,NULL,NULL,NULL,NULL,17
40,2023-09-02,5,2,3,2,1,1,4,5,2023-09-02 14:07:23.000,2023-09-02 14:07:23.000,NULL,NULL,NULL,NULL,24
41,2023-09-09,1,3,4,1,2,2,3,4,2023-09-09 12:24:54.000,2023-09-09 12:24:54.000,NULL,NULL,NULL,NULL,17
42,2023-09-09,2,3,1,1,2,3,4,1,2023-09-09 13:08:48.000,2023-09-09 13:08:48.000,NULL,NULL,NULL,NULL,24
43,2023-09-16,1,2,3,4,5,1,2,2,2023-09-16 11:22:36.000,2023-09-16 11:22:36.000,NULL,NULL,NULL,NULL,17
44,2023-09-16,1,3,2,4,2,2,3,4,2023-09-16 11:29:35.000,2023-09-16 11:29:35.000,NULL,NULL,NULL,NULL,10
45,2023-09-23,2,3,4,1,2,4,2,5,2023-09-23 14:13:40.000,2023-09-23 14:13:40.000,NULL,NULL,NULL,NULL,17
46,2023-09-23,3,4,2,1,5,3,4,4,2023-09-23 14:20:15.000,2023-09-23 14:20:15.000,NULL,NULL,NULL,NULL,24
47,2023-09-30,2,5,3,4,1,2,1,4,2023-09-30 09:11:56.000,2023-09-30 09:11:56.000,NULL,NULL,NULL,NULL,17
48,2023-09-30,3,4,2,5,2,2,1,4,2023-09-30 09:16:37.000,2023-09-30 09:16:37.000,NULL,NULL,NULL,NULL,9
49,2023-10-08,1,3,2,4,5,1,4,2,2023-10-07 17:01:30.000,2023-10-07 17:01:30.000,NULL,NULL,NULL,NULL,17
50,2023-10-08,2,2,3,1,4,2,5,1,2023-10-07 17:07:00.000,2023-10-07 17:07:00.000,NULL,NULL,NULL,NULL,10
51,2023-10-14,2,4,2,2,3,4,5,1,2023-10-14 14:23:53.000,2023-10-14 14:23:53.000,NULL,NULL,NULL,NULL,17
52,2023-10-14,3,4,2,1,4,3,2,2,2023-10-14 15:18:42.000,2023-10-14 15:18:42.000,NULL,NULL,NULL,NULL,24
53,2023-10-21,2,3,5,1,2,2,4,3,2023-10-21 11:49:26.000,2023-10-21 11:49:26.000,NULL,NULL,NULL,NULL,17
54,2023-10-21,4,1,5,3,2,4,1,3,2023-10-21 11:54:18.000,2023-10-21 11:54:18.000,NULL,NULL,NULL,NULL,24
