'id';'tgl_pencatatan';'jenis_mitra_pengirim';'jml_pedaging_jantan';'jml_pedaging_betina';'jml_pedaging_anakan_jantan';'jml_pedaging_anakan_betina';'jml_perah_jantan';'jml_perah_betina';'jml_perah_anakan_jantan';'jml_perah_anakan_betina';'created_at';'updated_at';'deleted_at';'created_by';'updated_by';'deleted_by';'id_peternak'
23;2023-08-04;Peternakan Sendiri;5;1;4;4;3;1;1;1;2023-08-04 12:39:23.000;2023-08-04 12:39:23.000;;;;;17
24;2023-08-04;Peternakan Sendiri;2;4;1;3;4;2;1;2;2023-08-04 12:49:20.000;2023-08-04 12:49:20.000;;;;;24
25;2023-08-12;Peternakan Sendiri;5;3;1;2;3;2;4;1;2023-08-12 11:49:01.000;2023-08-12 11:49:01.000;;;;;17
26;2023-08-12;Peternakan Sendiri;5;3;2;3;4;2;3;3;2023-08-12 11:59:16.000;2023-08-12 11:59:16.000;;;;;24
27;2023-08-19;Peternakan Sendiri;5;4;1;3;3;3;2;1;2023-08-19 11:29:23.000;2023-08-19 11:29:23.000;;;;;17
28;2023-08-19;Peternakan Sendiri;2;4;1;3;2;2;3;1;2023-08-19 11:35:23.000;2023-08-19 11:35:23.000;;;;;10
29;2023-08-26;Peternakan Sendiri;2;3;4;1;2;4;5;3;2023-08-26 12:16:35.000;2023-08-26 12:16:35.000;;;;;17
30;2023-08-26;Peternakan Sendiri;5;4;1;2;3;4;2;1;2023-08-26 12:23:46.000;2023-08-26 12:23:46.000;;;;;9
31;2023-09-02;Peternakan Sendiri;1;2;2;3;3;3;2;1;2023-09-02 14:02:17.000;2023-09-02 14:02:17.000;;;;;17
32;2023-09-02;Peternakan Sendiri;1;3;3;2;2;1;5;3;2023-09-02 14:07:57.000;2023-09-02 14:07:57.000;;;;;24
33;2023-09-09;Peternakan Sendiri;2;4;3;1;1;1;2;4;2023-09-09 12:25:33.000;2023-09-09 12:25:33.000;;;;;17
34;2023-09-09;Peternakan Sendiri;1;3;2;3;4;1;5;3;2023-09-09 13:09:23.000;2023-09-09 13:09:23.000;;;;;24
35;2023-09-16;Peternakan Sendiri;2;3;5;1;2;2;4;1;2023-09-16 11:23:02.000;2023-09-16 11:23:02.000;;;;;17
36;2023-09-16;Peternakan Sendiri;3;5;3;4;1;2;4;2;2023-09-16 11:30:15.000;2023-09-16 11:30:15.000;;;;;10
37;2023-09-16;Peternakan Lain;6;0;0;0;0;5;0;0;2023-09-16 15:19:42.000;2023-09-16 15:19:42.000;;;;;7
38;2023-09-23;Peternakan Sendiri;4;3;1;2;5;4;3;3;2023-09-23 14:14:11.000;2023-09-23 14:14:11.000;;;;;17
39;2023-09-23;Peternakan Sendiri;4;1;2;3;3;3;5;2;2023-09-23 14:20:43.000;2023-09-23 14:20:43.000;;;;;24
40;2023-09-30;Peternakan Sendiri;4;1;2;3;4;5;3;3;2023-09-30 09:12:25.000;2023-09-30 09:12:25.000;;;;;17
41;2023-09-30;Peternakan Sendiri;4;2;5;3;3;3;2;1;2023-09-30 09:17:07.000;2023-09-30 09:17:07.000;;;;;9
42;2023-10-08;Peternakan Sendiri;2;4;3;2;1;2;3;2;2023-10-07 17:02:06.000;2023-10-07 17:02:06.000;;;;;17
43;2023-10-08;Peternakan Sendiri;3;2;4;1;3;2;4;1;2023-10-07 17:07:30.000;2023-10-07 17:07:30.000;;;;;10
44;2023-10-14;Peternakan Sendiri;4;2;2;4;5;1;2;3;2023-10-14 14:24:17.000;2023-10-14 14:24:17.000;;;;;17
45;2023-10-14;Peternakan Sendiri;4;1;3;2;3;4;5;1;2023-10-14 15:19:15.000;2023-10-14 15:19:15.000;;;;;24
46;2023-10-21;Peternakan Sendiri;4;2;5;1;3;3;4;2;2023-10-21 11:49:55.000;2023-10-21 11:49:55.000;;;;;17
47;2023-10-21;Peternakan Sendiri;4;3;3;3;2;5;1;3;2023-10-21 11:54:50.000;2023-10-21 11:54:50.000;;;;;24
