'id','tgl_pencatatan','jenis_mitra_penerima','jml_pedaging_jantan','jml_pedaging_betina','jml_pedaging_anakan_jantan','jml_pedaging_anakan_betina','jml_perah_jantan','jml_perah_betina','jml_perah_anakan_jantan','jml_perah_anakan_betina','created_at','updated_at','deleted_at','created_by','updated_by','deleted_by','id_peternak'
23,2023-08-04,Peternakan Sendiri,1,1,1,4,3,2,2,5,2023-08-04 12:39:40.000,2023-08-04 12:39:40.000,NULL,NULL,NULL,NULL,17
24,2023-08-04,Peternakan Sendiri,2,3,4,2,2,1,1,1,2023-08-04 12:49:53.000,2023-08-04 12:49:53.000,NULL,NULL,NULL,NULL,24
25,2023-08-12,Peternakan Sendiri,5,4,3,4,2,1,2,3,2023-08-12 11:49:23.000,2023-08-12 11:49:23.000,NULL,NULL,NULL,NULL,17
26,2023-08-12,Peternakan Sendiri,2,4,3,1,1,2,3,2,2023-08-12 11:59:36.000,2023-08-12 11:59:36.000,NULL,NULL,NULL,NULL,24
27,2023-08-19,Peternakan Sendiri,1,2,2,3,3,3,4,1,2023-08-19 11:29:45.000,2023-08-19 11:29:45.000,NULL,NULL,NULL,NULL,17
28,2023-08-19,Peternakan Sendiri,4,3,1,2,1,1,3,2,2023-08-19 11:35:50.000,2023-08-19 11:35:50.000,NULL,NULL,NULL,NULL,10
29,2023-08-26,Peternakan Sendiri,2,3,4,2,1,3,3,4,2023-08-26 12:16:48.000,2023-08-26 12:16:48.000,NULL,NULL,NULL,NULL,17
30,2023-08-26,Peternakan Sendiri,5,4,1,1,2,2,4,3,2023-08-26 12:24:03.000,2023-08-26 12:24:03.000,NULL,NULL,NULL,NULL,9
31,2023-09-02,Peternakan Sendiri,1,4,4,3,2,2,1,1,2023-09-02 14:02:33.000,2023-09-02 14:02:33.000,NULL,NULL,NULL,NULL,17
32,2023-09-02,Peternakan Sendiri,2,3,2,2,4,1,3,3,2023-09-02 14:08:16.000,2023-09-02 14:08:16.000,NULL,NULL,NULL,NULL,24
33,2023-09-09,Peternakan Sendiri,3,2,4,5,5,1,2,3,2023-09-09 12:25:47.000,2023-09-09 12:25:47.000,NULL,NULL,NULL,NULL,17
34,2023-09-09,Peternakan Sendiri,3,1,1,1,5,2,4,3,2023-09-09 13:09:37.000,2023-09-09 13:09:37.000,NULL,NULL,NULL,NULL,24
35,2023-09-16,Peternakan Sendiri,3,3,2,1,4,3,5,1,2023-09-16 11:23:24.000,2023-09-16 11:23:24.000,NULL,NULL,NULL,NULL,17
36,2023-09-16,Peternakan Sendiri,3,1,2,4,5,1,2,2,2023-09-16 11:30:33.000,2023-09-16 11:30:33.000,NULL,NULL,NULL,NULL,10
37,2023-09-23,Peternakan Sendiri,3,4,4,5,3,2,1,2,2023-09-23 14:14:32.000,2023-09-23 14:14:32.000,NULL,NULL,NULL,NULL,17
38,2023-09-23,Peternakan Sendiri,4,2,3,3,2,1,5,2,2023-09-23 14:20:58.000,2023-09-23 14:20:58.000,NULL,NULL,NULL,NULL,24
39,2023-09-30,Peternakan Sendiri,4,1,2,2,3,1,2,5,2023-09-30 09:12:40.000,2023-09-30 09:12:40.000,NULL,NULL,NULL,NULL,17
40,2023-09-30,Peternakan Sendiri,4,1,3,2,5,2,4,3,2023-09-30 09:17:22.000,2023-09-30 09:17:22.000,NULL,NULL,NULL,NULL,9
41,2023-10-08,Peternakan Sendiri,2,4,1,3,2,2,4,3,2023-10-07 17:02:24.000,2023-10-07 17:02:24.000,NULL,NULL,NULL,NULL,17
42,2023-10-08,Peternakan Sendiri,3,2,4,1,5,2,3,1,2023-10-07 17:07:53.000,2023-10-07 17:07:53.000,NULL,NULL,NULL,NULL,10
43,2023-10-14,Peternakan Sendiri,4,2,1,2,2,3,3,4,2023-10-14 14:24:31.000,2023-10-14 14:24:31.000,NULL,NULL,NULL,NULL,17
44,2023-10-14,Peternakan Sendiri,3,4,2,3,3,3,4,1,2023-10-14 15:19:30.000,2023-10-14 15:19:30.000,NULL,NULL,NULL,NULL,24
45,2023-10-21,Peternakan Sendiri,4,2,5,1,3,4,2,1,2023-10-21 11:50:13.000,2023-10-21 11:50:13.000,NULL,NULL,NULL,NULL,17
46,2023-10-21,Peternakan Sendiri,5,3,3,3,5,2,1,2,2023-10-21 11:55:05.000,2023-10-21 11:55:05.000,NULL,NULL,NULL,NULL,24
